respondent_id,age,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range
r00001,30,m,urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00002,46,f,metro,working professional,> 35l,5-7 times,established,medium (500 ml),2 to 4,quality,exotic,retail store,premium,medium (moderately health-conscious),social (eg. parties),200-250
r00003,41,f,rural,working professional,> 35l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,traditional,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00004,33,f,urban,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),0 to 1,brand reputation,exotic,online,eco-friendly,low (not very concerned),"active (eg. sports, gym)",150-200
r00005,23,m,metro,student,none,3-4 times,established,medium (500 ml),0 to 1,availability,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r00006,22,f,urban,student,none,5-7 times,established,large (1 l),2 to 4,price,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r00007,45,f,urban,entrepreneur,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r00008,31,m,urban,entrepreneur,26l - 35l,5-7 times,established,medium (500 ml),above 4,brand reputation,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r00009,27,f,semi-urban,working professional,<10l,5-7 times,newcomer,small (250 ml),2 to 4,availability,exotic,retail store,eco-friendly,medium (moderately health-conscious),social (eg. parties),100-150
r00010,49,f,semi-urban,entrepreneur,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,price,traditional,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r00011,44,f,urban,entrepreneur,10l - 15l,3-4 times,newcomer,medium (500 ml),above 4,price,traditional,online,simple,high (very health-conscious),casual (eg. at home),200-250
