,respondent_id,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range,age_group,cf_ab_score,zas_score,bsi
0,R00001,M,Urban,Working Professional,<10L,3-4 times,Newcomer,Medium (500 ml),0 to 1,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,26-35,1.5,2.0,1
1,R00002,F,Metro,Working Professional,> 35L,5-7 times,Established,Medium (500 ml),2 to 4,Quality,Exotic,Retail Store,Premium,Medium (Moderately health-conscious),Social (eg. Parties),200-250,46-55,2.5,4.5,0
2,R00003,F,Rural,Working Professional,> 35L,3-4 times,Newcomer,Medium (500 ml),2 to 4,Availability,Traditional,Retail Store,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,36-45,2.0,3.0,0
3,R00004,F,Urban,Working Professional,16L - 25L,5-7 times,Newcomer,Medium (500 ml),0 to 1,Brand Reputation,Exotic,Online,Eco-Friendly,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,26-35,2.0,3.0,0
4,R00005,M,Metro,Student,None,3-4 times,Established,Medium (500 ml),0 to 1,Availability,Traditional,Online,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",50-100,18-25,1.5,,0
5,R00006,F,Urban,Student,None,5-7 times,Established,Large (1 L),2 to 4,Price,Traditional,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,18-25,2.5,,0
6,R00007,F,Urban,Entrepreneur,10L - 15L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,36-45,2.5,2.5,1
7,R00008,M,Urban,Entrepreneur,26L - 35L,5-7 times,Established,Medium (500 ml),above 4,Brand Reputation,Exotic,Retail Store,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,26-35,3.0,3.5,0
8,R00009,F,Semi-Urban,Working Professional,<10L,5-7 times,Newcomer,Small (250 ml),2 to 4,Availability,Exotic,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),Social (eg. Parties),100-150,26-35,2.5,1.5,0
9,R00010,F,Semi-Urban,Entrepreneur,10L - 15L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Retail Store,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,46-55,2.5,2.0,1
10,R00011,F,Urban,Entrepreneur,10L - 15L,3-4 times,Newcomer,Medium (500 ml),above 4,Price,Traditional,Online,Simple,High (Very health-conscious),Casual (eg. At home),200-250,36-45,2.5,2.5,1
11,R00012,F,Urban,Student,None,0-2 times,Established,Small (250 ml),0 to 1,Price,Exotic,Retail Store,Premium,Low (Not very concerned),Social (eg. Parties),50-100,18-25,1.0,,0
12,R00013,M,Urban,Working Professional,<10L,0-2 times,Established,Small (250 ml),0 to 1,Price,Exotic,Online,Premium,Medium (Moderately health-conscious),Social (eg. Parties),100-150,18-25,1.0,2.0,0
13,R00014,M,Urban,Working Professional,<10L,0-2 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Online,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,18-25,1.0,2.0,0
14,R00015,M,Metro,Student,None,3-4 times,Established,Small (250 ml),0 to 1,Price,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,18-25,1.5,,0
15,R00016,F,Metro,Working Professional,16L - 25L,3-4 times,Established,Medium (500 ml),2 to 4,Quality,Exotic,Retail Store,Premium,High (Very health-conscious),Social (eg. Parties),200-250,26-35,2.0,3.5,0
16,R00017,M,Metro,Working Professional,16L - 25L,0-2 times,Established,Medium (500 ml),0 to 1,Quality,Traditional,Retail Store,Premium,High (Very health-conscious),Casual (eg. At home),150-200,36-45,1.0,3.5,0
17,R00018,M,Metro,Entrepreneur,16L - 25L,3-4 times,Newcomer,Large (1 L),above 4,Availability,Exotic,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),Casual (eg. At home),200-250,56-70,2.5,3.5,0
18,R00019,M,Urban,Working Professional,26L - 35L,3-4 times,Newcomer,Large (1 L),0 to 1,Quality,Traditional,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),200-250,46-55,1.5,3.5,1
19,R00020,F,Urban,Entrepreneur,10L - 15L,5-7 times,Established,Medium (500 ml),above 4,Price,Exotic,Online,Eco-Friendly,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,36-45,3.0,2.5,0
20,R00021,M,Semi-Urban,Student,None,3-4 times,Newcomer,Large (1 L),0 to 1,Availability,Traditional,Retail Store,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",50-100,18-25,1.5,,0
21,R00022,M,Semi-Urban,Working Professional,<10L,0-2 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Retail Store,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,56-70,1.0,1.5,0
22,R00023,F,Metro,Entrepreneur,10L - 15L,3-4 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,46-55,1.5,3.0,0
23,R00024,M,Urban,Student,None,0-2 times,Newcomer,Medium (500 ml),2 to 4,Availability,Exotic,Retail Store,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",50-100,18-25,1.5,,0
24,R00025,M,Urban,Working Professional,> 35L,3-4 times,Established,Medium (500 ml),above 4,Brand Reputation,Exotic,Online,Eco-Friendly,Low (Not very concerned),"Active (eg. Sports, gym)",200-250,36-45,2.5,4.0,0
